fire_id,fire_year,observation_year,years_since_fire,area_ha,centroid_lat,centroid_lon,NBR,NDVI,NBR_pre,NDVI_pre,dNBR
19961080651,1996,2001,5,4130.0,50.18051397610666,-75.86210334401093,0.3380826426189336,0.6192355918682709,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2002,6,4130.0,50.18051397610666,-75.86210334401093,0.33787092677163333,0.5918720425070931,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2003,7,4130.0,50.18051397610666,-75.86210334401093,0.24007599054074957,0.2754323164549804,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2004,8,4130.0,50.18051397610666,-75.86210334401093,0.29111640481379564,0.10695018655926804,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2005,9,4130.0,50.18051397610666,-75.86210334401093,0.4394868527845905,0.5995404259147312,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2006,10,4130.0,50.18051397610666,-75.86210334401093,0.35737714591571357,0.4237202939651665,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2007,11,4130.0,50.18051397610666,-75.86210334401093,0.40824569000145666,0.4277224986740416,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2008,12,4130.0,50.18051397610666,-75.86210334401093,0.2478958035484193,0.21441146018933746,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2009,13,4130.0,50.18051397610666,-75.86210334401093,0.38693125193675937,0.5745268505061354,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2010,14,4130.0,50.18051397610666,-75.86210334401093,0.4394358952631936,0.6307818613384263,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2011,15,4130.0,50.18051397610666,-75.86210334401093,0.4783783314963738,0.6622021328744931,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2012,16,4130.0,50.18051397610666,-75.86210334401093,0.37792529661657587,0.23022964509009491,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2013,17,4130.0,50.18051397610666,-75.86210334401093,0.4315579587563917,0.6679882849781934,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2014,18,4130.0,50.18051397610666,-75.86210334401093,0.48253129760234126,0.689310843763309,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2015,19,4130.0,50.18051397610666,-75.86210334401093,0.4042221145546234,0.35757348746910755,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080651,1996,2016,20,4130.0,50.18051397610666,-75.86210334401093,0.5087894325199313,0.43559985724784545,0.5556282790021875,0.6504910499511471,0.32222275066736805
19961080668,1996,1993,-3,816.0,50.25215675832303,-76.22988235042439,0.4786168196718919,0.5406926897599154,0.5135898894688204,0.6269457578788066,0.19897439460327132
19961080668,1996,1994,-2,816.0,50.25215675832303,-76.22988235042439,0.5330539757631415,0.6269457578788066,0.5135898894688204,0.6269457578788066,0.19897439460327132
19961080668,1996,1995,-1,816.0,50.25215675832303,-76.22988235042439,0.5135898894688204,0.6620749571804938,0.5135898894688204,0.6269457578788066,0.19897439460327132
19961080668,1996,1996,0,816.0,50.25215675832303,-76.22988235042439,0.31461549486554913,0.08794700544542837,0.5135898894688204,0.6269457578788066,0.19897439460327132
19961080668,1996,1997,1,816.0,50.25215675832303,-76.22988235042439,0.5897322796770079,0.01899465375528717,0.5135898894688204,0.6269457578788066,0.19897439460327132
19961080668,1996,1998,2,816.0,50.25215675832303,-76.22988235042439,0.2988160602695047,0.6232640543884389,0.5135898894688204,0.6269457578788066,0.19897439460327132
19961080668,1996,1999,3,816.0,50.25215675832303,-76.22988235042439,0.298850376190013,0.26736787047564137,0.5135898894688204,0.6269457578788066,0.19897439460327132
19961080668,1996,2000,4,816.0,50.25215675832303,-76.22988235042439,0.3067273788032261,0.6034040044519012,0.5135898894688204,0.6269457578788066,0.19897439460327132
19961080668,1996,2001,5,816.0,50.25215675832303,-76.22988235042439,0.3573587934878311,0.39655818836337503,0.5135898894688204,0.6269457578788066,0.19897439460327132
19961080668,1996,2002,6,816.0,50.25215675832303,-76.22988235042439,0.33387713170818023,0.4005567155873832,0.5135898894688204,0.6269457578788066,0.19897439460327132
19961080668,1996,2003,7,816.0,50.25215675832303,-76.22988235042439,0.3691241835764724,0.12683591999474125,0.5135898894688204,0.6269457578788066,0.19897439460327132
19961080668,1996,2004,8,816.0,50.25215675832303,-76.22988235042439,0.2989378976742702,0.25588173614368637,0.5135898894688204,0.6269457578788066,0.19897439460327132
